Name,Asx D/L,Glx D/L,Ser D/L,Arg D/L,Ala D/L,Tyr D/L,Val D/L,Phe D/L,Leu D/L,Ile D/L,[Ser]/[Ala],Bleached,Type,Time,Genus,Species,materials
8189bH*,0.50,0.23,0.30,0.48,0.48,#DIV/0!,0.23,0.36,0.33,0.27,0.5126836,b,H,*,Patella,vulgata,shell 
8190bH*,0.51,0.24,0.38,0.50,0.45,#DIV/0!,0.24,0.42,0.34,0.27,0.451734272,b,H,*,Patella,vulgata,shell 
8191bH*,0.61,0.33,0.49,0.69,0.63,#DIV/0!,0.26,0.55,0.50,0.33,0.275045514,b,H,*,Patella,vulgata,shell 
8192bH*,0.61,0.33,0.45,0.71,0.64,0.00,0.25,0.50,0.48,0.32,0.289430769,b,H,*,Patella,vulgata,shell 
8193bH*,0.60,0.33,0.38,0.82,0.63,#DIV/0!,0.24,0.54,0.48,0.31,0.270169008,b,H,*,Patella,vulgata,shell 
8194bH*,0.60,0.33,0.34,0.78,0.63,#DIV/0!,0.24,0.51,0.49,0.32,0.284825527,b,H,*,Patella,vulgata,shell 
8152bH*,0.59,0.30,0.29,1.02,0.50,#DIV/0!,0.24,0.39,0.37,0.25,0.372224735,b,H,*,Patella,vulgata,shell 
8153bH*,0.57,0.47,0.23,2.10,0.65,0.00,0.35,0.61,0.54,0.36,0.102321563,b,H,*,Patella,ferruginea,shell 
8160bH*,0.18,0.05,0.16,0.28,0.06,0.00,0.02,0.05,0.07,0.03,1.027882154,b,H,*,Patella,ulyssiponensis,shell 
8150bH*,0.59,0.36,0.30,0.73,0.56,0.00,0.24,0.46,0.35,0.27,0.38122004,b,H,*,Patella,ulyssiponensis,shell 
8152bF,0.20,0.30,0.45,1.92,0.21,#DIV/0!,1.44,0.00,0.79,#DIV/0!,2.212753033,b,F,,Patella,vulgata,shell 
8160bF,0.16,0.24,0.48,1.52,0.17,#DIV/0!,0.68,0.00,0.18,0.00,2.047937684,b,F,,Patella,ulyssiponensis,shell 
8185bH*,0.56,0.25,0.25,0.49,0.53,#DIV/0!,0.25,0.43,0.34,0.26,0.491580707,b,H,*,Patella,vulgata,shell 
7498bF,0.64,0.51,0.66,1.27,0.62,0.35,0.47,0.81,0.70,0.72,0.64080525,b,F,,Patella,caerulea,shell
7497bF,0.69,0.68,0.58,1.53,0.75,0.88,0.63,0.95,0.69,0.77,0.372145271,b,F,,Patella,caerulea,shell
7499bF,0.66,0.56,0.84,1.16,0.65,0.51,0.50,0.93,0.57,0.85,0.447480449,b,F,,Patella,caerulea,shell
7504bF,0.63,0.46,0.97,0.00,0.60,#DIV/0!,0.61,0.75,0.58,0.86,0.476323294,b,F,,Patella,caerulea,shell
7505bF,0.64,0.37,0.85,0.00,0.57,0.52,0.44,0.61,0.49,0.53,0.670248569,b,F,,Patella,caerulea,shell
7506bF,0.62,0.44,1.06,0.00,0.63,#DIV/0!,0.58,0.88,0.53,0.81,0.489677132,b,F,,Patella,caerulea,shell
7498bH*,0.25,0.21,0.41,0.00,0.38,0.52,0.28,0.38,0.36,0.38,0.72200034,b,H,*,Patella,caerulea,shell
7497bH*,0.31,0.20,0.27,0.00,0.47,#DIV/0!,0.27,0.55,0.34,0.44,0.335540142,b,H,*,Patella,caerulea,shell
7499bH*,0.58,0.49,0.98,0.00,0.67,0.49,0.52,0.82,0.59,0.91,0.417761586,b,H,*,Patella,caerulea,shell
7504bH*,0.24,0.19,0.43,0.00,0.28,#DIV/0!,0.22,0.33,0.33,0.35,0.537993428,b,H,*,Patella,caerulea,shell
7505bH*,0.25,0.18,0.52,0.00,0.27,0.00,0.27,0.32,0.32,0.32,0.751489972,b,H,*,Patella,caerulea,shell
7506bH*,0.23,0.17,0.45,0.00,0.28,#DIV/0!,0.24,0.37,0.32,0.32,0.793590949,b,H,*,Patella,caerulea,shell
8161bF,0.67,0.44,0.85,0.00,0.67,#DIV/0!,0.33,0.65,0.57,0.34,0.454968453,b,F,,Patella,ulyssiponensis,shell
8161bF,0.66,0.43,0.86,0.00,0.68,#DIV/0!,0.30,0.62,0.55,0.34,0.459082294,b,F,,Patella,ulyssiponensis,shell
8161bH*,0.33,0.20,0.42,0.00,0.38,#DIV/0!,0.14,0.27,0.24,0.16,0.591234235,b,H,*,Patella,ulyssiponensis,shell
8161bH*,0.33,0.20,0.42,0.00,0.38,#DIV/0!,0.13,0.27,0.23,0.15,0.590205379,b,H,*,Patella,ulyssiponensis,shell
8162bF,0.67,0.45,0.86,0.00,0.66,#DIV/0!,0.32,0.65,0.56,0.35,0.478591062,b,F,,Patella,ulyssiponensis,shell
8162bF,0.67,0.44,0.82,0.00,0.67,#DIV/0!,0.33,0.63,0.55,0.34,0.471976631,b,F,,Patella,ulyssiponensis,shell
8162bH*,0.34,0.19,0.39,0.00,0.35,#DIV/0!,0.13,0.23,0.21,0.13,0.693910255,b,H,*,Patella,ulyssiponensis,shell
8162bH*,0.34,0.20,0.39,0.00,0.35,#DIV/0!,0.12,0.21,0.20,0.12,0.697859589,b,H,*,Patella,ulyssiponensis,shell
8163bF,0.59,0.52,0.74,0.00,0.69,#DIV/0!,2.36,1.13,0.68,1.00,0.544578624,b,F,,Patella,ulyssiponensis,shell
8163bF,0.60,0.41,0.82,0.00,0.70,0.41,0.54,0.75,0.70,0.63,0.423223408,b,F,,Patella,ulyssiponensis,shell
8164bF,0.61,0.41,0.80,0.00,0.65,#DIV/0!,0.41,0.67,0.54,0.44,0.472385021,b,F,,Patella,ulyssiponensis,shell
8164bF,0.62,0.39,0.79,0.00,0.64,#DIV/0!,0.39,0.63,0.53,0.45,0.465375878,b,F,,Patella,ulyssiponensis,shell
8164bH*,0.35,0.18,0.39,0.00,0.28,0.00,0.11,0.23,0.18,0.10,0.517383172,b,H,*,Patella,ulyssiponensis,shell
8164bH*,0.37,0.17,0.40,0.00,0.27,0.00,0.11,0.22,0.17,0.10,0.469801245,b,H,*,Patella,ulyssiponensis,shell
8167bF,0.62,0.49,0.83,0.00,0.74,0.39,0.62,0.84,0.80,0.74,0.436259226,b,F,,Patella,ulyssiponensis,shell
8167bF,0.62,0.45,0.73,0.00,0.74,0.41,0.64,0.79,0.80,0.75,0.412797633,b,F,,Patella,ulyssiponensis,shell
8168bF,0.62,0.48,0.81,0.00,0.73,0.48,0.53,0.77,0.74,0.63,0.410905982,b,F,,Patella,ulyssiponensis,shell
8168bF,0.63,0.45,0.73,0.00,0.72,0.49,0.57,0.73,0.66,0.66,0.423259501,b,F,,Patella,ulyssiponensis,shell
8169bF,0.62,0.46,0.90,0.00,0.71,#DIV/0!,0.53,0.80,0.67,0.62,0.480454375,b,F,,Patella,ulyssiponensis,shell
8169bF,0.61,0.43,0.85,0.00,0.70,#DIV/0!,0.55,0.76,0.66,0.66,0.480375234,b,F,,Patella,ulyssiponensis,shell
8169bH*,0.31,0.19,0.47,0.00,0.33,#DIV/0!,0.14,0.31,0.23,0.14,0.481560227,b,H,*,Patella,ulyssiponensis,shell
8169bH*,0.33,0.19,0.46,0.00,0.32,#DIV/0!,0.15,0.31,0.23,0.15,0.453960324,b,H,*,Patella,ulyssiponensis,shell
8170bF,0.61,0.45,0.89,0.00,0.71,#DIV/0!,0.53,0.79,0.71,0.59,0.475127886,b,F,,Patella,ulyssiponensis,shell
8170bF,0.62,0.43,0.93,0.00,0.70,#DIV/0!,0.58,0.80,0.69,0.68,0.430610519,b,F,,Patella,ulyssiponensis,shell
8171bF,0.65,0.37,0.73,0.00,0.62,#DIV/0!,0.36,0.64,0.59,0.40,0.454442089,b,F,,Patella,ulyssiponensis,shell
8171bH*,0.40,0.21,0.44,0.00,0.37,#DIV/0!,0.16,0.29,0.24,0.15,0.430421066,b,H,*,Patella,ulyssiponensis,shell
8171bH*,0.40,0.21,0.44,0.00,0.36,#DIV/0!,0.16,0.27,0.26,0.15,0.421434078,b,H,*,Patella,ulyssiponensis,shell
8172bF,0.66,0.38,0.79,0.00,0.63,0.00,0.38,0.69,0.60,0.44,0.425345837,b,F,,Patella,ulyssiponensis,shell
8172bF,0.65,0.39,0.70,0.00,0.62,0.31,0.39,0.72,0.66,0.48,0.462944809,b,F,,Patella,ulyssiponensis,shell
8172bH*,0.40,0.22,0.43,0.00,0.37,#DIV/0!,0.16,0.31,0.27,0.14,0.429280063,b,H,*,Patella,ulyssiponensis,shell
8172bH*,0.40,0.21,0.41,0.00,0.36,#DIV/0!,0.17,0.27,0.28,0.14,0.446764333,b,H,*,Patella,ulyssiponensis,shell
8173bF,0.68,0.59,0.81,0.00,0.80,#DIV/0!,3.52,1.17,1.73,2.13,0.344043514,b,F,,Patella,ulyssiponensis,shell
8174bF,0.68,0.56,0.78,0.00,0.79,0.93,0.62,0.90,0.79,0.79,0.341186595,b,F,,Patella,ulyssiponensis,shell
8174bF,0.68,0.54,0.77,0.00,0.79,0.84,0.62,0.88,0.81,0.79,0.339651946,b,F,,Patella,ulyssiponensis,shell
8174bH*,0.38,0.22,0.39,0.00,0.39,0.77,0.19,0.34,0.29,0.22,0.482742486,b,H,*,Patella,ulyssiponensis,shell
8174bH*,0.39,0.22,0.38,0.00,0.39,0.77,0.19,0.33,0.29,0.21,0.481695462,b,H,*,Patella,ulyssiponensis,shell
7363bF,0.64,0.40,0.80,0.00,0.65,0.33,0.39,0.72,0.61,0.47,0.44394296,b,F,,Patella,ulyssiponensis,shell
7363bF,0.65,0.39,0.81,0.00,0.64,0.33,0.39,0.70,0.61,0.45,0.460962362,b,F,,Patella,ulyssiponensis,shell
7363bH*,0.33,0.19,0.48,0.00,0.34,0.00,0.17,0.28,0.24,0.17,0.47928731,b,H,*,Patella,ulyssiponensis,shell
7364bF,0.67,0.43,0.87,0.00,0.73,0.64,0.59,0.85,0.75,0.70,0.433805204,b,F,,Patella,ulyssiponensis,shell
7365bF,0.71,0.44,0.92,0.00,0.68,#DIV/0!,0.36,0.73,0.64,0.44,0.453688243,b,F,,Patella,ulyssiponensis,shell
7365bH*,0.34,0.20,0.46,0.00,0.39,0.20,0.18,0.30,0.25,0.18,0.546208518,b,H,*,Patella,ulyssiponensis,shell
7366bF,0.70,0.42,0.89,0.00,0.68,0.77,0.47,0.79,0.66,0.54,0.426897553,b,F,,Patella,ulyssiponensis,shell
7366bH*,0.36,0.21,0.50,0.00,0.39,1.05,0.19,0.40,0.30,0.21,0.487542352,b,H,*,Patella,ulyssiponensis,shell
7367bF,0.68,0.41,0.87,0.00,0.67,#DIV/0!,0.39,0.73,0.64,0.47,0.442800557,b,F,,Patella,ulyssiponensis,shell
7367bH*,0.39,0.20,0.51,0.00,0.35,0.00,0.17,0.34,0.28,0.19,0.465769076,b,H,*,Patella,ulyssiponensis,shell
8564bF,0.70,0.61,0.65,0.00,0.60,#DIV/0!,0.46,0.57,0.62,0.58,0.903186605,b,F,,patella,caerulea,shell 
8564bF,0.68,0.46,0.79,0.00,0.62,#DIV/0!,0.51,0.52,0.54,0.60,0.42065446,b,F,,patella,caerulea,shell 
8560bF,0.65,0.36,0.82,0.00,0.54,0.00,0.28,0.46,0.48,0.38,0.495440647,b,F,,Patella,caerulea,shell 
8560bF,0.63,0.30,1.04,0.00,0.57,0.33,0.28,0.60,0.44,0.38,0.283900483,b,F,,Patella,caerulea,shell 
8559bF,0.64,0.39,0.84,0.00,0.56,0.70,0.46,0.59,0.59,0.57,0.663349514,b,F,,Patella,caerulea,shell 
8559bF,0.60,0.37,0.76,0.00,0.59,0.40,0.42,0.64,0.56,0.59,0.518381066,b,F,,Patella,caerulea,shell 
8557bF,0.74,0.49,0.75,0.00,0.62,0.62,0.42,0.64,0.55,0.50,0.469372147,b,F,,Patella,caerulea,shell 
8557bF,0.71,0.46,0.67,0.00,0.65,0.53,0.37,0.64,0.53,0.49,0.552156187,b,F,,Patella,caerulea,shell 
8556bF,0.73,0.63,0.72,0.00,0.71,0.88,0.57,0.80,0.72,0.71,0.405964872,b,F,,Patella,caerulea,shell 
8556bF,0.72,0.60,0.89,0.00,0.74,0.71,0.49,0.80,0.70,0.68,0.302763314,b,F,,Patella,caerulea,shell 
8604bF,0.64,0.36,0.87,0.00,0.58,#DIV/0!,0.32,0.54,0.57,0.45,0.468346803,b,F,,Patella,caerulea,shell
8604bF,0.69,0.38,0.86,0.00,0.58,#DIV/0!,0.40,0.60,0.53,0.48,0.391915787,b,F,,Patella,caerulea,shell
8605bF,0.66,0.49,0.85,0.00,0.68,#DIV/0!,0.51,0.71,0.84,0.67,0.475977621,b,F,,Patella,caerulea,shell
8605bF,0.71,0.49,0.81,0.00,0.66,#DIV/0!,0.46,0.80,0.69,0.71,0.36114807,b,F,,Patella,caerulea,shell
8606bF,0.66,0.45,0.86,0.00,0.65,#DIV/0!,0.42,0.68,0.68,0.59,0.427370713,b,F,,Patella,caerulea,shell
8606bF,0.72,0.47,0.72,0.00,0.64,#DIV/0!,0.47,0.70,0.65,0.62,0.397053953,b,F,,Patella,caerulea,shell
8607bF,0.68,0.45,0.77,0.00,0.68,#DIV/0!,0.45,0.62,0.57,0.57,0.453849585,b,F,,Patella,caerulea,shell
8607bF,0.72,0.46,0.86,0.00,0.65,#DIV/0!,0.33,0.73,0.57,0.52,0.326486358,b,F,,Patella,caerulea,shell
8608bF,0.64,0.46,0.91,0.00,0.68,#DIV/0!,0.53,0.71,0.63,0.72,0.517196985,b,F,,Patella,caerulea,shell
8608bF,0.68,0.47,0.78,0.00,0.67,#DIV/0!,0.62,0.74,0.72,0.75,0.43502688,b,F,,Patella,caerulea,shell
8615bF,0.78,0.60,0.76,0.00,0.75,#DIV/0!,0.54,0.78,0.64,0.66,0.242481091,b,F,,Patella,caerulea,shell
8616bF,0.61,0.29,0.87,0.00,0.53,#DIV/0!,0.34,0.00,0.36,0.35,0.579300073,b,F,,Patella,caerulea,shell
8616bF,0.65,0.32,0.76,0.00,0.53,#DIV/0!,0.42,0.55,0.47,0.40,0.586258302,b,F,,Patella,caerulea,shell
8617bF,0.65,0.42,0.89,0.00,0.62,#DIV/0!,0.41,0.64,0.62,0.60,0.490206777,b,F,,Patella,caerulea,shell
8617bF,0.68,0.43,0.91,0.00,0.61,#DIV/0!,0.40,0.68,0.59,0.56,0.430039669,b,F,,Patella,caerulea,shell
8618bF,0.65,0.16,0.85,0.00,0.58,#DIV/0!,0.46,0.71,0.49,0.46,0.637608089,b,F,,Patella,caerulea,shell
8618bF,0.69,0.38,0.79,0.00,0.57,0.44,0.47,0.60,0.57,0.53,0.550726393,b,F,,Patella,caerulea,shell
8604bH*,0.27,0.19,0.42,0.00,0.36,#DIV/0!,0.23,0.35,0.31,0.31,0.639551963,b,H,*,Patella,caerulea,shell
8605bH*,0.29,0.21,0.45,0.00,0.37,#DIV/0!,0.31,0.37,0.40,0.41,0.694721247,b,H,*,Patella,caerulea,shell
8607bH*,0.28,0.22,0.41,0.00,0.42,#DIV/0!,0.27,0.36,0.34,0.34,0.62022578,b,H,*,Patella,caerulea,shell
8608bH*,0.25,0.19,0.43,0.00,0.36,#DIV/0!,0.28,0.36,0.35,0.39,0.64773441,b,H,*,Patella,caerulea,shell
8615bH*,0.45,0.37,0.44,0.00,0.52,#DIV/0!,0.42,0.52,0.00,0.35,0.360070711,b,H,*,Patella,caerulea,shell
8615bH*,0.46,0.37,0.42,0.00,0.56,#DIV/0!,0.41,0.52,0.42,0.42,0.308937527,b,H,*,Patella,caerulea,shell
8616bH*,0.25,0.16,0.42,0.00,0.32,#DIV/0!,0.21,0.31,0.24,0.00,0.771187053,b,H,*,Patella,caerulea,shell
8616bH*,0.25,0.15,0.43,0.00,0.36,#DIV/0!,0.18,0.28,0.24,0.00,0.547492024,b,H,*,Patella,caerulea,shell
8617bH*,0.24,0.21,0.40,0.00,0.38,#DIV/0!,0.25,0.36,0.35,0.35,0.691451619,b,H,*,Patella,caerulea,shell
8617bH*,0.24,0.20,0.42,0.00,0.37,#DIV/0!,0.28,0.36,0.33,0.33,0.659510627,b,H,*,Patella,caerulea,shell
8618bH*,0.31,0.18,0.45,0.00,0.32,0.23,0.23,0.37,0.26,0.26,0.689355646,b,H,*,Patella,caerulea,shell
8618bH*,0.31,0.18,0.48,0.00,0.29,0.33,0.23,0.29,0.27,0.25,0.575718544,b,H,*,Patella,caerulea,shell
8606bH*,0.27,0.15,0.30,0.00,0.39,#DIV/0!,0.28,0.44,0.35,0.34,0.811384204,b,H,*,Patella,caerulea,shell
8606bH*,0.27,0.21,0.37,0.00,0.38,#DIV/0!,0.28,0.36,0.36,0.36,0.657308083,b,H,*,Patella,caerulea,shell
8604bH*,0.26,0.20,0.41,0.00,0.33,#DIV/0!,0.21,0.41,0.30,0.27,0.732133835,b,H,*,Patella,caerulea,shell
8608bH*,0.25,0.21,0.43,0.00,0.34,#DIV/0!,0.25,0.43,0.35,0.00,0.763216825,b,H,*,Patella,caerulea,shell
8604bH*,0.27,0.19,0.43,0.00,0.36,0.00,0.24,0.14,0.29,0.32,0.635069922,b,H,*,Patella,caerulea,shell
8608bH*,0.25,0.19,0.44,0.00,0.35,0.00,0.26,0.27,0.37,0.37,0.671459823,b,H,*,Patella,caerulea,shell
8628bH*,0.27,0.23,0.43,0.00,0.34,0.00,0.19,0.00,0.00,0.00,0.621667382,b,H,*,Patella,caerulea,shell
8628bH*,0.28,0.24,0.43,0.00,0.37,0.00,0.21,0.38,#DIV/0!,0.00,0.617868759,b,H,*,Patella,caerulea,shell
8628bH*,0.28,0.23,0.42,0.00,0.37,0.00,0.19,0.35,0.00,0.00,0.597995067,b,H,*,Patella,caerulea,shell
8623bH*,0.47,0.38,0.50,0.00,0.50,0.00,0.19,0.47,#DIV/0!,0.00,0.294782092,b,H,*,Patella,caerulea,shell
8628bF,0.69,0.53,0.97,0.00,0.66,0.22,0.65,0.64,#DIV/0!,0.00,0.456762546,b,F,,Patella,caerulea,shell
8623bF,0.78,0.58,0.82,0.00,0.75,0.34,0.51,0.63,0.00,0.00,0.247573271,b,F,,patella,caerulea,shell
9038bF,0.77,0.76,0.00,#DIV/0!,0.92,#DIV/0!,0.91,0.97,0.97,1.16,0.035690836,b,F,,Patella,sp.,shell edge
9038bF,0.78,0.78,0.54,0.00,0.91,#DIV/0!,0.91,0.93,0.99,1.11,0.034130162,b,F,,Patella,sp.,shell edge
9039bF,0.78,0.77,0.52,0.00,0.92,#DIV/0!,0.91,0.97,0.97,1.10,0.075111052,b,F,,Patella,sp.,shell edge
9039bF,0.78,0.74,0.00,0.00,0.91,#DIV/0!,0.92,0.94,0.99,1.13,0.029096652,b,F,,Patella,sp.,shell edge
9040bF,0.76,0.58,0.72,0.00,0.85,#DIV/0!,0.72,0.88,0.87,0.93,0.122709959,b,F,,Patella,sp.,shell edge
9040bF,0.77,0.58,0.91,0.00,0.85,#DIV/0!,0.73,0.95,0.91,0.93,0.110818332,b,F,,Patella,sp.,shell edge
9041bF,0.76,0.58,0.70,0.00,0.86,#DIV/0!,0.74,0.97,0.89,0.95,0.115507791,b,F,,Patella,sp.,shell edge
9041bF,0.77,0.58,0.73,0.00,0.86,#DIV/0!,0.74,0.93,0.90,0.94,0.114723973,b,F,,Patella,sp.,shell edge
9042bF,0.75,0.58,0.48,0.00,0.83,#DIV/0!,0.63,1.01,0.78,0.62,0.110851969,b,F,,Patella,sp.,shell edge
9042bF,0.79,0.61,0.68,0.00,0.82,#DIV/0!,0.61,0.91,0.80,0.66,0.087251006,b,F,,Patella,sp.,shell edge
9043bF,0.83,0.55,0.91,#DIV/0!,0.87,#DIV/0!,0.51,0.96,0.92,0.65,0.095229982,b,F,,Patella,sp.,shell edge
9043bF,0.87,0.56,0.79,#DIV/0!,0.87,#DIV/0!,0.51,0.97,0.94,0.64,0.104001663,b,F,,Patella,sp.,shell edge
9038bH*,0.61,0.46,0.00,0.00,0.61,0.00,0.35,0.55,0.49,0.36,0.080897113,b,H,*,Patella,sp.,shell edge
9038bH*,0.61,0.46,0.00,0.00,0.61,0.00,0.35,0.57,0.46,0.36,0.069100109,b,H,*,Patella,sp.,shell edge
9039bH*,0.58,0.40,0.00,0.00,0.55,0.00,0.30,0.53,0.42,0.32,0.078308745,b,H,*,Patella,sp.,shell edge
9039bH*,0.58,0.40,0.00,0.00,0.55,0.00,0.30,0.50,0.41,0.31,0.047579571,b,H,*,Patella,sp.,shell edge
9040bH*,0.57,0.33,0.39,0.00,0.53,#DIV/0!,0.28,0.47,0.39,0.31,0.164950788,b,H,*,Patella,sp.,shell edge
9040bH*,0.57,0.33,0.44,0.00,0.52,#DIV/0!,0.28,0.46,0.39,0.31,0.158571457,b,H,*,Patella,sp.,shell edge
9041bH*,0.56,0.33,0.39,0.00,0.51,#DIV/0!,0.27,0.46,0.39,0.30,0.183799343,b,H,*,Patella,sp.,shell edge
9041bH*,0.56,0.33,0.48,0.00,0.52,#DIV/0!,0.27,0.46,0.35,0.29,0.156203853,b,H,*,Patella,sp.,shell edge
9042bH*,0.74,0.47,0.54,0.00,0.79,#DIV/0!,0.38,0.63,0.63,0.43,0.136156006,b,H,*,Patella,sp.,shell edge
9042bH*,0.74,0.48,0.50,0.00,0.79,0.00,0.38,0.65,0.62,0.43,0.137154826,b,H,*,Patella,sp.,shell edge
9043bH*,0.71,0.46,0.51,0.00,0.79,0.00,0.37,0.62,0.61,0.42,0.155444249,b,H,*,Patella,sp.,shell edge
9043bH*,0.71,0.46,0.51,0.00,0.78,0.00,0.37,0.63,0.61,0.42,0.14801948,b,H,*,Patella,sp.,shell edge
5859bF,0.66,0.31,0.92,0.89,0.52,0.00,0.31,0.50,0.44,0.38,0.461311034,b,F,,Patella,sp.,shell
5859bF,0.66,0.32,0.95,0.79,0.52,0.00,0.29,0.47,0.42,0.34,0.457087609,b,F,,Patella,sp.,shell
5859bH*,0.37,0.17,0.45,0.25,0.28,0.00,0.13,0.25,0.22,0.13,0.569298975,b,H,*,Patella,sp.,shell
5859bH*,0.37,0.18,0.46,0.27,0.29,0.00,0.11,0.27,0.23,0.22,0.563198869,b,H,*,Patella,sp.,shell
5860bF,0.66,0.32,0.93,0.86,0.52,0.00,0.31,0.52,0.45,0.44,0.502395168,b,F,,Patella,sp.,shell
5860bF,0.67,0.30,0.93,0.79,0.51,0.00,0.30,0.52,0.44,0.47,0.507834788,b,F,,Patella,sp.,shell
5860bH*,0.32,0.17,0.40,0.26,0.28,0.00,0.14,0.26,0.22,0.14,0.641370628,b,H,*,Patella,sp.,shell
5860bH*,0.32,0.17,0.40,0.28,0.29,0.00,0.10,0.27,0.24,0.26,0.630221198,b,H,*,Patella,sp.,shell
5861bF,0.67,0.30,0.91,1.00,0.55,0.00,0.37,0.62,0.56,0.54,0.48852551,b,F,,Patella,sp.,shell
5861bF,0.67,0.33,0.90,0.00,0.54,0.00,0.37,0.54,0.52,0.66,0.495809132,b,F,,Patella,sp.,shell
5861bH*,0.32,0.16,0.38,0.23,0.26,0.00,0.13,0.24,0.22,0.14,0.664274331,b,H,*,Patella,sp.,shell
5861bH*,0.31,0.16,0.38,0.25,0.26,0.00,0.10,0.25,0.24,0.26,0.659376767,b,H,*,Patella,sp.,shell
5862bF,0.68,0.32,0.93,0.78,0.55,0.00,0.42,0.63,0.54,0.52,0.600681919,b,F,,Patella,sp.,shell
5862bF,0.68,0.31,0.94,0.79,0.55,0.00,0.43,0.62,0.56,0.50,0.589964148,b,F,,Patella,sp.,shell
5862bH*,0.33,0.18,0.43,0.29,0.29,0.00,0.15,0.27,0.26,0.15,0.685158217,b,H,*,Patella,sp.,shell
5862bH*,0.33,0.19,0.44,0.34,0.29,0.00,0.13,0.29,0.27,0.27,0.67949741,b,H,*,Patella,sp.,shell
5867bF,0.67,0.30,0.97,0.79,0.52,0.00,0.30,0.50,0.44,0.44,0.450106721,b,F,,Patella,sp.,shell
