TRENCH,unit,Prob_chron,contaminated
QR5,44,EN,no
QR5,43,EN,no
QR5,42,EN,no
QR5,41,EN,yes
QR5,40,EN,yes
QR5,39,EN,yes
QR5,38,EN,no
QR5,37,EN,no
QR5,36,EN,no
QR5,35,EN,no
QR5,33,EN,no
QR5,32,EN,no
QR5,31,EN,no
QR5,29,EN,no
QR5,28,EN,no
QR5,27,EN,no
QR5,26,EN,no
QR5,25,EN,no
QR5,24,EN,no
QR5,23,EN,no
QR5,18,EN,no
QR5,17,EN,no
QR5,16,EN,no
QR5,15,EN,no
QR5,14,NA,no
QR5,13,NA,no
QR5,12,EN,no
QR5,11,EN,no
QR5,10,EN,yes
QR5,9,FN,no
QR5,8,FN-PostNeo,no
QR5,7,FN-PostNeo,no
QR5,6,FN-PostNeo,no
QR5,5,FN,no
QR5,4,NA,no
QR5,1,NA,no
Q5S,233,EN,no
Q5S,232,EN,no
Q5S,231,EN,no
Q5S,230,EN,no
Q5S,229,EN,no
Q5S,223,EN,no
Q5S,222,EN,no
Q5S,221,EN,no
Q5S,220,MN,no
Q5S,218,EN-MN,no
Q5S,215,EN-MN,no
Q5S,202,EN,no
Q5S,200,EN,no
Q5S,198,EN,no
Q5S,196,EN,no
Q5S,195,EN,no
Q5S,194,IN-EN,no
Q5S,193,EN,no
Q5S,191,EN,no
Q5S,190,EN,no
Q5S,189,EN,no
Q5S,188,EN,no
Q5S,187,EN,no
Q5S,185,EN,no
Q5S,184,EN-MN,no
Q5S,183,EN-MN,no
Q5S,181,EN-MN,no
Q5S,180,NA,no
Q5S,178,NA,no
Q5S,177,NA,no
Q5S,176,NA,no
Q5S,166,NA,no
Q5S,164,NA,no
Q5S,163,NA,no
Q5S,150,NA,no
Q5S,149,EN-MN,no
Q5S,148,EN-MN,no
Q5S,144,EN-MN,no
Q5S,141,EN-MN,no
Q5S,98,NA,no
Q5S,97,NA,no
Q5S,94,MN contaminated,yes
Q5S,91,FN; Mixed,no
Q5S,86,MN,no
Q5S,85,MN,no
Q5S,80,MN,no
Q5S,77,MN,no
Q5S,75,MN & FN contaminated,yes
Q5N,101,MN,no
Q5N,99,MN,no
Q5N,98,MN,no
Q5N,86,MN,no
Q5N,80,MN,no
Q5N,77,MN,no
Q5N,69,NA,no
Q5N,65,EN,no
Q5N,64,EN,no
Q5N,63,EN,no
Q5N,62,EN,no
Q5N,61,EN,no
Q5N,60,EN,no
Q5N,57,EN,no
Q5N,56,EN,no
Q5N,55,EN,no
Q5N,54,EN,no
Q5N,51,EN,no
Q5N,50,EN,no
Q5N,49,EN,no
Q5N,48,EN,no
Q5N,47,EN,no
Q5N,45,EN,no
Q5N,44,EN,no
Q5N,43,EN,no
Q5N,39,EN-MN,no
Q5N,36,FN,no
Q5N,35,FN,no
Q5N,33,NA,no
Q5N,29,EN-MN contaminated,yes
Q5N,28,EN-MN contaminated,yes
Q5N,27,EN,no
Q5N,26,EN,no
Q5N,25,EN,no
Q5N,24,EN-MN contaminated,yes
Q5N,23,EN,no
Q5N,22,EN,no
Q5N,20,EN,no
Q5N,16,EN,no
Q5N,14,EN,no
Q5N,13,EN-MN,no
Q5N,12,EN-MN contaminated; FN,yes
Q5N,11,EN-MN contaminated,yes
Q5N,10,FN; Mixed,no
Q5N,9,Mixed,no
Q5N,8,FN; Mixed,no
Q5N,7,Mixed,no
Q5N,6,FN,no
Q5N,5,FN,no
Q5N,4,FN-PostNeo,no
Q5N,3,NA,no
O5,145,NA,no
O5,141,NA,no
O5,139,MN contaminated,yes
O5,138,MN,no
O5,130,MN,no
O5,127,MN,no
O5,125,MN,no
O5,123,MN,no
O5,120,MN,no
O5,119,MN,no
O5,118,MN,no
O5,115,NA,no
O5,114,NA,no
O5,113,MN,no
O5,112,MN,no
O5,111,MN,no
O5,108,EN-MN,no
O5,99,EN-MN,no
O5,92,EN-MN,no
O5,87,EN-MN,no
O5,81,EN,no
O5,80,EN,no
O5,78,EN,no
O5,77,EN,no
O5,73,EN,no
O5,71,EN,no
O5,69,EN,no
O5,67,EN,no
O5,63,EN,no
O5,56,NA,no
O5,48,MN,no
O5,46,NA,no
O5,44,NA,no
O5,43,FN,no
O5,42,NA,no
O5,41,NA,no
O5,40,NA,no
O5,38,Mixed,no
O5,35,NA,no
O5,34,EN-MN contaminated,yes
O5,33,Mixed,no
O5,32,Mixed,no
O5,31,Mixed,no
O5,30,Mixed,no
O5,29,Mixed,no
O5,28,NA,no
O5,26,MN contaminated,yes
O5,25,MN contaminated,yes
O5,24,MN contaminated,yes
O5,23,FN-PostNeo,no
O5,20,MN-FN,no
O5,19,FN,no
O5,18,FN,no
O5,16,MN-FN,no
O5,15,FN,no
O5,14,MN-FN,no
O5,12,FN,no
O5,11,MN-FN,no
O5,8,FN,no
O5,7,FN-PostNeo,no
O5,6,Mixed,no
O5,4,FN-PostNeo,no
O5,3,Mixed,no
O5,2,Mixed,no
L5NE,64,EN,no
L5NE,63,EN,no
L5NE,61,EN,no
L5NE,59,EN,no
L5NE,58,EN,no
L5NE,57,EN,no
L5NE,56,EN,no
L5NE,55,EN,no
L5NE,54,EN,no
L5NE,53,EN,no
L5NE,52,EN,no
L5NE,50,EN,no
L5NE,48,EN,no
L5NE,46,EN,no
L5NE,45,EN-MN,no
L5NE,43,EN-MN,no
L5NE,41,EN-MN mixed,no
L5NE,40,EN-MN,no
L5NE,39,EN-MN contaminated,yes
L5NE,38,EN-MN,no
L5NE,36,EN-MN contaminated,yes
L5NE,35,EN-MN,no
L5NE,34,EN-MN,no
L5NE,33,EN-MN,no
L5NE,31,FN,no
L5NE,30,FN,no
L5NE,22,FN,no
L5NE,21,FN,no
L5NE,17,FN,no
L5NE,15,FN,no
L5NE,13,FN,no
L5NE,7,FN,no
L5NE,6,FN,no
L5NE,5,FN,no
L5NE,4,FN,no
L5NE,3,FN,no
L5NE,2,FN,no
L5NE,1,FN,no
L5,100,NA,no
L5,98,NA,no
L5,94,NA,no
L5,93,NA,no
L5,91,NA,no
L5,90,NA,no
L5,88,FN,no
L5,87,FN,no
L5,84,Mixed,no
L5,80,MN,no
L5,78,MN,no
L5,76,MN,no
L5,75,MN,no
L5,74,MN,no
L5,73,MN,no
L5,72,MN,no
L5,71,NA,no
L5,69,MN,no
L5,62,MN,no
L5,61,Mixed,no
L5,60,FN,no
L5,58,NA,no
L5,56,Mixed,no
L5,55,Mixed,no
L5,47,EN,no
L5,45,EN,no
L5,44,EN,no
L5,43,EN,no
L5,42,EN,no
L5,40,EN,no
L5,38,EN,no
L5,37,EN,no
L5,35,EN,no
L5,34,EN,no
L5,33,EN,no
L5,32,EN,no
L5,30,EN,no
L5,28,EN,no
L5,27,EN-MN,no
L5,26,EN-MN,no
L5,25,EN-MN,no
L5,24,EN-MN,no
L5,23,EN-MN,no
L5,21,EN-MN,no
L5,20,EN-MN,no
L5,19,EN-MN,no
L5,17,EN-MN,no
L5,16,Mixed,no
L5,10,NA,no
L5,4,NA,no
L5,1,NA,no
H1B,161,FP,no
H1B,160,FP,no
H1B,159,FP,no
H1B,158,FP,no
H1B,157,FP,no
H1B,156,FP,no
H1B,155,FP,no
H1B,154,FP,no
H1B,153,FP,no
H1B,151,FP,no
H1B,150,FP/LM interphase,no
H1B,149,FP/LM interphase,no
H1B,147,LM,no
H1B,145,LM,no
H1B,144,LM,no
H1B,142,LM,no
H1B,141,LM,no
H1B,139,LM,no
H1B,138,LM,no
H1B,137,LM,no
H1B,136,LM,no
H1B,135,LM,no
H1B,134,LM,no
H1B,133,LM,no
H1B,132,LM,no
H1B,127,LM,no
H1B,125,LM,no
H1B,124,LM,no
H1B,123,LM,no
H1B,122,LM,no
H1B,121,UM/LM,no
H1B,120,UM/LM,no
H1B,116,UM,no
H1B,115,UM,no
H1B,114,UM,no
H1B,112,UM,no
H1B,111,UM,no
H1B,110,UM,no
H1B,109,UM,no
H1B,108,UM,no
H1B,107,UM,no
H1B,106,UM,no
H1B,105,UM,no
H1B,104,UM,no
H1A,181,FP,no
H1A,180,FP,no
H1A,179,FP,no
H1A,178,FP,no
H1A,177,FP,no
H1A,176,FP,no
H1A,175,FP,no
H1A,174,FP,no
H1A,173,FP,no
H1A,172,FP,no
H1A,171,FP,no
H1A,170,FP,no
H1A,167,FP,no
H1A,163,LM,no
H1A,161,LM,no
H1A,160,LM,no
H1A,159,LM,no
H1A,158,LM,no
H1A,156,LM,no
H1A,155,LM,no
H1A,148,LM,no
H1A,147,LM,no
H1A,146,LM,no
H1A,145,LM,no
H1A,136,LM,no
H1A,132,LM,no
H1A,131,LM,no
H1A,129,LM,no
H1A,128,LM,no
H1A,127,LM,no
H1A,125,LM,no
H1A,124,LM,no
H1A,123,LM,no
H1A,123,LM,no
H1A,121,UM/LM,no
H1A,119,UM,no
H1A,118,UM/LM,no
H1A,115,UM,no
H1A,114,UM,no
H1A,111,UM,no
H1A,110,UM,no
H1A,105,UM,no
H1A,102,UM,no
H1A,101,UM,no
FAS,207,FP,no
FAS,206,FP,no
FAS,205,FP,no
FAS,204,FP,no
FAS,203,FP/LM,no
FAS,202,FP/LM,no
FAS,201,FP/LM,no
FAS,200,FP/LM,no
FAS,199,FP/LM,no
FAS,198,FP/LM,no
FAS,197,FP/LM,no
FAS,196,LM,no
FAS,195,LM,no
FAS,194,LM,no
FAS,192,LM,no
FAS,191,LM,no
FAS,190,LM,no
FAS,189,LM,no
FAS,188,LM,no
FAS,186,LM,no
FAS,185,LM,no
FAS,184,LM,no
FAS,183,LM,no
FAS,182,LM,no
FAS,181,LM,no
FAS,180,LM,no
FAS,179,LM,no
FAS,178,LM,no
FAS,177,LM,no
FAS,176,LM,no
FAS,175,LM,no
FAS,174,LM,no
FAS,173,LM,no
FAS,172,UM/LM,no
FAS,171,UM/LM,no
FAS,170,UM,no
FAS,168,UM,no
FAS,166,UM,no
FAS,165,UM,no
FAS,164,UM,no
FAS,163,UM,no
FAS,162,UM,no
FAS,161,UM,no
FAS,160,UM,no
FAS,159,UM,no
FAS,158,UM,no
FAS,157,UM,no
FAS,156,UM,no
FAS,155,UM,no
FAS,154,UM,no
FAS,153,FM,no
FAS,152,FM,no
FAS,151,UM/FM,no
FAS,150,FM,no
FAS,149,FM,no
FAS,148,FM/IN,no
FAS,147,FM,no
FAS,146,FM/IN,no
FAS,145,IN,no
FAS,144,IN,no
FAS,143,IN,no
FAS,142,IN,no
FAS,140,IN,no
FAS,139,IN,no
FAS,138,IN,no
FAS,137,IN,no
FAS,131,EN,no
FAS,130,"MN, EN & MN",no
FAS,128,EN-MN,no
FAS,125,MN,no
FAS,124,MN,no
FAS,123,MN,no
FAS,122,MN,no
FAS,121,MN,no
FAS,120,"MN, EN & MN",no
FAS,119,MN,no
FAS,118,MN,no
FAS,117,MN,no
FAS,116,MN-LN,no
FAS,115,LN,no
FAS,113,LN,no
FAS,111,LN,no
FAS,109,LN,no
FAS,104,LN,no
FAS,103,LN,no
FAS,98,LN,no
FAS,94,LN,no
FAS,93,LN,no
FAS,91,LN,no
FAS,89,LN,no
FAS,88,LN,no
FAS,87,LN,no
FAS,86,LN,no
FAS,85,LN,no
FAS,84,LN,no
FAS,83,LN,no
FAS,82,LN,no
FAS,81,FN,no
FAS,79,FN,no
FAS,78,FN,no
FAS,77,FN,no
FAS,76,FN,no
FAS,75,FN,no
FAS,74,FN,no
FAS,73,FN,no
FAN,218,UM,no
FAN,192,UM,no
FAN,191,UM,no
FAN,190,UM,no
FAN,189,UM,no
FAN,188,UM,no
FAN,187,UM,no
FAN,186,UM,no
FAN,185,UM,no
FAN,184,UM,no
FAN,183,UM,no
FAN,182,UM,no
FAN,180,UM,no
FAN,179,UM,no
FAN,177,UM,no
FAN,176,UM,no
FAN,175,UM,no
FAN,174,FM,no
FAN,172,FM,no
FAN,171,FM,no
FAN,170,FM,no
FAN,167,FM,no
FAN,166,FM,no
FAN,165,FM,no
FAN,163,FM/IN,no
FAN,162,FM/IN,no
FAN,161,IN,no
FAN,160,IN,no
FAN,158,IN,no
FAN,156,IN,no
FAN,152,IN,no
FAN,150,IN,no
FAN,148,EN,no
FAN,147,EN,no
FAN,146,EN,no
FAN,144,EN,no
FAN,143,EN-MN,no
FAN,136,MN,no
FAN,134,MN,no
FAN,133,MN,no
FAN,132,MN,no
FAN,131,MN,no
FAN,130,MN,no
FAN,129,MN,no
FAN,128,MN,no
FAN,127,MN,no
FAN,126,MN,no
FAN,124,MN,no
FAN,123,MN,no
FAN,122,MN,no
FAN,121,MN,no
FAN,118,MN-LN,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no
,,NA,no